name,prompt,negative_prompt
15 丙烯肌理绘画,丙烯肌理绘画风格，厚涂丙烯颜料，明显颜料肌理，色块笔触，色彩丰富，手绘油画感，8K高清,"水印, 水彩, 扁平插画, 照片写实, 数字光滑"
16 新中式水墨写意,新中式水墨写意风格，水墨晕染，大量留白，国风写意，淡墨色彩，山水意境，东方美学，8K高清,"水印, 油画, 高饱和, 西方写实, 3D渲染"
17 颗粒丝网印刷风,颗粒丝网印刷风格，丝网印刷颗粒质感，有限色版，印刷做旧效果，套色偏移，潮流海报感，8K高清,"水印, 照片写实, 渐变, 光滑数字, 全彩百万色"
18 复古画报人像,复古画报人像风格，老杂志画报质感，精致平涂插画，复古排版装饰，年代感，时尚插画，8K高清,"水印, 现代摄影, 3D渲染, 极简, 暗黑"
19 低poly低多边形,低多边形low poly风格，几何多边形拼接，简约几何体构成画面，三角面构成，色彩渐变，现代抽象，8K高清,"水印, 写实, 曲线柔美, 油画, 照片"
20 梦幻柔光弥散风,梦幻柔光弥散风格，柔光漫射，光晕朦胧，柔和虚化，氛围感画面，梦境感，柔焦，8K高清,"水印, 锐利清晰, 高对比, 硬光, 暗黑"
21 国潮烫金国风,国潮烫金国风风格，传统国风纹样，烫金质感，红金配色，传统元素，祥云瑞兽，华丽大气，8K高清,"水印, 极简, 西方风格, 低饱和, 现代简约"
22 复古美式旧杂志旅行海报风,复古美式旧杂志旅行海报风格，复古美式插画，装饰小英文排版，做旧印刷质感，旅行主题，年代感，8K高清,"水印, 现代设计, 照片写实, 极简, 高清晰数码"
23 复古城市地标拼贴海报风,复古城市地标拼贴海报风格，城市地标拼贴构图，装饰色块，复古印刷质感，旅行宣传，年代感，8K高清,"水印, 现代简约, 单一场景, 照片写实, 极简"
24 sujunmin超现实情绪静物摄影风,sujunmin超现实情绪静物摄影风格，超现实静物构图，柔和光影，情绪氛围感，艺术摄影，极简构图，8K高清,"水印, 杂乱, 高饱和, 硬光, 商业产品照"
25 四格夏日拼贴丙烯插画风,四格夏日拼贴丙烯插画风格，四格分镜拼贴构图，丙烯手绘质感，统一夏日主题，色彩鲜活，故事感，8K高清,"水印, 单格, 水彩, 照片, 冬季主题"
26 城市街头波普混合媒体海报风,城市街头波普混合媒体海报风格，波普艺术，街头混合媒介，粗黑轮廓线，色彩艳丽，潮流感，拼贴元素，8K高清,"水印, 极简, 低饱和, 古典, 写实摄影"
27 水墨重构明信片,水墨重构明信片风格，上半部分高清写实摄影，下半部分水墨扁平重构插画，米白画册明信片质感，左下角英文标题，8K高清,"水印, 全彩统一, 无分割, 油画, 3D渲染"
28 雨夜霓虹亚文化实验海报风,雨夜霓虹亚文化实验海报风格，雨夜霓虹撞色，亚文化视觉，实验性海报设计，街头潮流，8K高清,"水印, 古典, 极简, 日光, 商业正统"
29 分层城市烟火插画,分层城市烟火插画风格，严格上下分层构图，本地建筑与烟火气素材，城市生活气息，温暖色调，文旅插画，8K高清,"水印, 不分层, 通用元素, 照搬其他城市, 冷调"
30 蜡笔手绘城市旅行风,蜡笔手绘城市旅行风格，蜡笔手绘质感，完整单张全景画面，城市烟火氛围，温暖色彩，旅行插画，8K高清,"水印, 水彩, 油画, 数字光滑, 照片写实"
31 巴斯奎特波普涂鸦风,巴斯奎特波普涂鸦风格，新表现主义，波普涂鸦艺术，粗犷街头笔触，原始符号，色彩强烈，8K高清,"水印, 精致插画, 极简, 古典, 写实"
32 白边贴纸橙色太阳大写英文海报,白边贴纸橙色太阳大写英文海报风格，白边贴纸拼贴效果，橙色太阳图形元素，大号大写英文标题，复古旅行海报，8K高清,"水印, 无贴纸, 冷色调, 中文标题, 极简"
33 彩色圆珠笔交叉排线速写风,彩色圆珠笔交叉排线速写风格，多色圆珠笔手绘，交叉排线技法，细密手绘线条质感，建筑人文速写，8K高清,"水印, 全彩填充, 油画, 照片, 3D"
34 文旅城市波普潮玩海报风,文旅城市波普潮玩海报风格，底层高清实景照片，上层粗黑描边Q版卡通贴纸，点缀涂鸦几何元素，顶部大号英文城市标题，潮流感，8K高清,"水印, 全写实, 极简, 无卡通, 古典"
35 高饱和撞色钢笔点线插画,高饱和撞色钢笔点线插画风格，钢笔点线排线技法，墨绿紫红橙金天蓝象牙白撞色，古建筑国风，文艺插画，8K高清,"水印, 低饱和, 水彩, 油画, 照片"
36 刻板印刷城市档案,刻板印刷城市档案风格，真实城市主体建筑，深蓝刻板印刷背景，细密点刻铜版排线，档案年鉴展览海报质感，8K高清,"水印, 全彩, 水彩, 现代设计, 照片"
37 极繁钢笔文艺招贴插图,极繁钢笔文艺招贴插图风格，无数细密短促钢笔线条，疏密对比塑造形体，大景深构图，古建老树，静谧生机，8K高清,"水印, 极简, 水彩, 油画, 照片, 留白过多"
38 9:16竖屏扁平矢量城市旅行海报,9:16竖版简约扁平矢量城市旅行海报，日式文具轻奢插画质感，干净统一细轮廓线，平涂色彩，低饱和柔和配色，大面积留白，现代杂志旅行海报版式。依据上传实景照片，保留原图空间纵深、建筑风貌、街道走向、植被、交通工具与人文氛围，将实景转化为简洁几何矢量造型，不复刻照片写实感。地标仅做远景识别，不放大喧宾夺主；精简人物为3-6个贴合当地日常的小人物，动作包含散步、骑行、驻足拍照、街边休憩等。根据场景匹配本土专属人文细节：老街搭配骑楼、复古招牌、暖光路灯；滨海搭配沙滩椰林、海面船只；都市街区搭配楼宇轻轨；老城夜景搭配暖光建筑、特色灯笼，杜绝通用元素堆砌。日间以雾蓝、浅天青、暖象牙白、米杏、灰草木绿为基底，点缀低饱和砖红/暖橙；夜景采用藏蓝夜空+柔和暖光灯光，拒绝强光霓虹、杂乱光影。线条统一，无渐变、无厚重阴影，整体松弛治愈，精致高级。左上角固定排版：中文城市名、对应英文、简短氛围感英文标语。,禁止写实照片质感、水彩油画笔触、厚重笔刷、强对比光影、渐变、纸张纹理；禁止水印、角标、AI标识、乱码、二维码、LOGO；禁止地标过度堆砌、人群杂乱、人物过大；禁止高饱和艳色、泛滥霓虹、多余装饰元素；禁止文字偏离左上角位置、版式混乱、非9:16画幅比例。
S01 室内写实效果图,照片级写实室内空间效果图，真实材质纹理，自然光影，精致软装细节，空间感，建筑摄影，8K超高清，专业渲染,"水印, 手绘, 水彩, 线稿, 卡通, 低质量"
S02 室内水彩方案手绘,室内设计水彩方案手绘风格，淡水彩手绘质感，柔和建筑线稿，通透色彩晕染，设计手绘感，方案汇报，8K高清,"水印, 照片写实, 3D渲染, 油画, 高饱和"
S03 爆炸拆解轴测图,室内家具软装爆炸拆解轴测图，等距轴测视角，结构分层拆解表达，清晰组件关系，设计分析图，技术插图，8K高清,"水印, 写实渲染, 水彩, 照片, 杂乱无层次"
S04 效果图材质情绪板Moodboard,室内设计材质情绪板Moodboard，材质小样拼贴，色卡展示，软装元素组合，中英双语标注，设计提案质感，8K高清,"水印, 单一场景, 无拼贴, 照片写实, 杂乱"
SK01 scenes-gathered-zine 实景拼贴·拾景Zine,scenes-gathered-zine实景拼贴拾景Zine风格，真实摄影与抽象插画场域融合，撕纸边界效果，高饱和色彩结构，Zine杂志感，8K高清,"水印, 单一媒介, 光滑边缘, 低饱和, 极简"
SK02 scene-distillation-zine 影像蒸馏Zine,scene-distillation-zine影像蒸馏Zine风格，照片完全重绘为极简插画，不保留原图细节，单色块模式，概念艺术，8K高清,"水印, 照片写实, 复杂细节, 高饱和多彩, 油画"
SK03 morandi-cinematic-poster 莫兰迪电影海报,morandi-cinematic-poster莫兰迪电影海报风格，照片转电影key art，纯排版驱动设计，莫兰迪低饱和色调，电影海报质感，8K高清,"水印, 高饱和, 复杂插画, 照片不处理, 艳丽"
SK04 travel-memory-sticker-card 旅行手账记忆卡,travel-memory-sticker-card旅行手账记忆卡风格，大插画主体画面，6枚手账贴纸装饰，3个英文关键词，旅行手账质感，8K高清,"水印, 无贴纸, 极简, 照片写实, 暗黑"
SK05 travel-memory-card-duo 横版记忆卡变体,travel-memory-card-duo横版记忆卡变体，3:2横版卡片构图，独立贴纸元素，旅行记忆主题，手账风格，8K高清,"水印, 竖版, 无贴纸, 照片, 极简"
SK06 vinyl-image-generator 黑胶唱片套装,vinyl-image-generator黑胶唱片套装风格，虚构AB面唱片设计，正反封套整套版式，黑胶唱片质感，音乐封面设计，8K高清,"水印, 无唱片, 单一封面, 照片, 极简"
SK07 image-words 三连艺术解析海报,image-words三连艺术解析海报风格，3:4竖版比例，三张一组情绪构图解析，艺术海报，文字与图像结合，8K高清,"水印, 单张, 横版, 无文字, 照片写实"
SK08 create-pantone-photo-posters 潘通色卡相框海报,create-pantone-photo-posters潘通色卡相框海报风格，白色相框设计，低饱和底色，专业潘通色号标签，极简静物，色彩展示，8K高清,"水印, 高饱和, 无相框, 复杂背景, 油画"
SK09 photo-to-organic-knit 毛线针织艺术海报,photo-to-organic-knit毛线针织艺术海报风格，钩针毛毡肌理质感，不规则毛边，毛线编织标题，温暖手工感，8K高清,"水印, 光滑数字, 照片, 金属质感, 冷硬"
SK10 crystalize 极简水晶插画,crystalize极简水晶插画风格，通透晶体切面构成，大量留白，极简标题，抽象艺术重构，清透质感，8K高清,"水印, 复杂细节, 油画, 照片, 高饱和"
SK11 photo-to-travel-sketch 旅行速写手绘,photo-to-travel-sketch旅行速写手绘风格，保留地标建筑辨识度，手账速写纹理，手绘线条，旅行日记感，8K高清,"水印, 照片写实, 油画, 3D, 无地标"
SK12 handdrawn-photo-poster ZINE邮票海报,handdrawn-photo-poster ZINE邮票海报风格，书本载体构图，居中手绘邮票设计，提取实物元素重构，文艺杂志感，8K高清,"水印, 无邮票, 照片, 极简, 商业"
SK13 joy-calm-woodcut-zine 日系木刻ZINE,joy-calm-woodcut-zine日系木刻ZINE风格，木刻版画线条，微光纸张质感，微型杂志排版，日系复古人文，8K高清,"水印, 照片, 油画, 高饱和, 现代光滑"
SK14 Eyer_Paint 油画质感画风,Eyer_Paint油画质感画风，照片转印象派油画，颜料堆积肌理，厚涂笔触，锁定原图构图比例，不改物体轮廓，艺术转绘，8K高清,"水印, 照片写实, 水彩, 扁平, 改变构图"
SK15 Eyer_淡彩风格,Eyer_淡彩风格，低饱和薄雾水彩晕染，轻盈梦幻氛围，柔和色彩，通透感，淡彩插画，8K高清,"水印, 高饱和, 厚涂, 暗黑, 锐利"
SK16 Eyer_仿红外摄影,Eyer_仿红外摄影风格，植物呈现雪白色，天空深蓝色，超现实高对比风光，红外摄影质感，自然场景，8K高清,"水印, 正常色彩, 低对比, 人像, 城市"
SK17 Eyer_高级黑白胶片,Eyer_高级黑白胶片风格，银盐摄影丰富灰阶，细腻颗粒，高光影对比，黑白艺术，纪实人像风光，8K高清,"水印, 彩色, 低对比, 数码清晰, 磨皮过度"
SK18 Eyer_复古怀旧老照片,Eyer_复古怀旧老照片风格，暖黄色调褪色，照片划痕与暗角，岁月复古质感，老照片效果，怀旧氛围，8K高清,"水印, 现代清晰, 高饱和, 冷色调, 无划痕"
SK19 HongKong_尼康港风色彩,HongKong_尼康港风色彩风格，浓郁通透香港色调，高锐度，色彩分离强烈，都市街景人像，港风美学，8K高清,"水印, 低饱和, 日系, 柔和, 复古褪色"
SK20 Kevin_电影暗调人像,Kevin_电影暗调人像风格，胶片低曝光，柔暖肤色，故事感电影氛围，环境人像，情绪大片，8K高清,"水印, 高调明亮, 过曝, 冷白肤色, 商业棚拍"
SK21 YamatoStyle 日式大和美学,YamatoStyle日式大和美学风格，淡雅和风色彩，侘寂留白，静谧禅意，极简构图，日式人文，8K高清,"水印, 高饱和, 复杂装饰, 西方风格, 喧闹"
SK22 reality-restaged 纪实记忆重演,reality-restaged纪实记忆重演风格，完整保留原图人物动作服饰文化细节与真实记忆，舞台化构图，大面积负空间，尺度重构，克制高级超现实电影画面，8K高清,"水印, 粗暴换背景, 改变人物, 高饱和, 杂乱"
SK23 老街城市记忆海报,老街城市记忆海报风格，老街旧墙与骑楼街巷，新旧高楼对比，复古胶片怀旧记忆氛围，保留街道人物摩托主体，城市记忆，8K高清,"水印, 全新建筑, 高饱和, 无对比, 现代感"
SK24 照片重构型旅行杂志封面模板,SK24｜照片重构型旅行杂志封面模板。以用户原图为唯一主体，严格保留建筑、风景、物体、空间结构与原始照片全部内容，禁止复制参考图内具体场景元素。旅行杂志封面版式：左侧或上方大面积米白复古纸张留白，左上角放置大号黑色无衬线大写英文标题，标题内容匹配图片场景生成；右侧或下方完整保留照片主体，建筑/塔/摩天轮/景观作为第一视觉；照片与留白之间用水墨撕裂毛边、泼墨自然过渡，叠加旧纸颗粒做旧肌理，文艺复古旅行出版海报质感。禁止水印、角标、AI字样、乱码、LOGO；禁止主体变形崩坏、建筑扭曲、文字错乱、过度饱和滤镜。,"水印, 角标, AI字样, 乱码, LOGO, 主体变形崩坏, 建筑扭曲, 文字错乱, 过度饱和滤镜"
SK25 街拍转复古杂志封面v2.0,街拍转复古杂志封面v2.0风格，街拍照片生成复古杂志封面，英文大字锚点排版，重彩水彩胶片噪点质感，杂志秩序排版，街头纪实，8K高清,"水印, 现代设计, 无文字, 极简, 高清晰数码"
SK26 双联老城木刻研究海报,SK26 双联老城木刻研究海报，竖版3:4，画面水平对半分割上下1:1等高。上半部分必须完整保留输入原图，不改变构图、不改变色彩、不改变人物位置、不改变建筑结构、不改变光影、不做滤镜处理、不做风格化、不重绘，保持照片原始画面。下半部分基于上半部分原图转化为现代木刻版画，提炼建筑轮廓、街巷纵深、人物动态、门窗节奏、招牌结构和街道物件，使用清晰刻刀轮廓、平涂色面、木刻刀痕、细密排线、宣纸米白肌理、轻微木板套色错位和纸张吸墨毛边。色彩控制在四种以内：宣纸米白、靛蓝、朱红、暖赭黄，可加入少量炭黑轮廓线。边角加入少量克制英文标题和小型篆刻印章，文字不遮挡主体。平面化构图，安静克制，老城人文艺术研究页，可印刷收藏质感。,禁止上半部分照片被重绘、滤镜化、变色、裁切、重构、美颜、风格化；禁止廉价日式和风，禁止过度卡通，禁止照片原样复制到下半部分，禁止五官扭曲，禁止色彩杂乱，禁止油画厚笔触，禁止水彩晕染，禁止3D渲染，禁止水印，禁止logo，禁止乱码，禁止主体比例崩坏，禁止画面元素堆砌。
SK27 regional-culture-poster 地域文化大字海报,工作流：七维文化候选池（地理气候/建筑结构/材料颜色/历史文学/日常生活/当代状态/精神气质）→ 选定不可替换地方机制 → 主字变形（单字优先，变形须有文化来源）→ 视觉系统定义（主字+主文化结构+辅助元素+色彩+构图）→ 直接生成/分层生产 → 遮字识别检查（遮住文字后仍有地域文化证据）。双模式：MODE A 结构造字海报：汉字结构是主视觉，城市元素参与字形生长。MODE B 地域编辑海报：城市空间是主视觉，城市名是编辑锚点。色彩原则：从地域气候/材料/光提取，主色+1-2辅色+中性色，反乡土（避免土黄/做旧/红金国潮默认）。,"水印, 土黄做旧, 红金国潮默认, 通用元素, 无地域特征"
SK28 工业遗址人文水彩,21:9电影宽幅全景构图，复古水彩工业遗址人文公园风格，超宽幅电影感画面，旧纸颗粒质感，低饱和复古色调，米白纸张底色，保留工业遗产元素（旧厂房、铁轨、船坞、铁锚、塔吊、齿轮、烟囱、锈蚀金属），弱描边，不做硬核废墟感，不做破败末日感，转成温暖人文休闲公园场景，市民休闲漫步休憩，儿童玩耍，水岸步道，绿植树木环绕，水面柔和反射，远景现代城市天际线拉开层次，柔和自然光，淡水彩晕染技法，手绘速写线条，整体温暖怀旧，电影感宽幅构图，8K高清,"水印, 高饱和, 艳丽色彩, 过曝, 硬核废墟, 破败感, 末日感, 现代感过强, 照片写实, 脏乱差, 阴暗压抑"
SK29 老街招牌记忆贴纸,旅行手帐记忆贴纸卡片设计，左侧为完整方形老街街景插画卡片，尽量忠实原图构图，保留原始建筑立面、招牌位置、门窗结构、人物位置、车辆位置和街边细节，不重新设计场景，不美化，不裁切，不抠出主体，只做轻微手绘化处理；右侧将画面中的招牌、门窗、灯杆、人物、车辆、店铺元素、墙面纹理等拆分成多个独立贴纸，每个贴纸带有白色模切轮廓和轻微阴影，整齐排列；低饱和复古色调，旧纸颗粒质感，简约色块，扁平肌理插画，城市记忆感，旅行纪念品感，底部加入简短英文标签描述画面，不要写实照片,写实照片，摄影质感，过度美化，重新设计场景，改变原构图，裁切主体，抠出主体，左侧单独物体抠图，复杂背景，高饱和颜色，强烈透视，夸张变形，多余物体，杂乱文字，水印，低清晰度
SK30 复古城市等轴旅行海报,9:16竖版复古城市旅行海报，顶部保留大面积米白留白标题区，文字只放在顶部，不遮挡城市主体。画面为高空等轴鸟瞰城市全景，重点呈现该城市最具辨识度的专属地标、历史建筑、现代建筑、河流、桥梁、道路、绿植与城市烟火，严格遵循目标城市的真实地理格局与建筑特征，禁止出现无关城市的地标建筑。整体为复古旅行海报插画，柔和3D插画质感，非写实照片，米黄旧纸底色，低暖饱和色调，细腻颗粒肌理，底部柔和云雾虚化，干净怀旧排版。顶部居中放置大号粗体无衬线城市英文名，下方小字为国家·大洲·国旗图标,上海建筑，外滩，陆家嘴，东方明珠，上海中心，金茂大厦，建筑错位，地标错误，城市混淆，无关城市建筑，文字压在建筑上，遮挡主体，写实照片，摄影质感，高饱和颜色，生硬阴影，杂乱元素，多余边框，水印，logo，低清晰度
SK31 三重音色城市建筑矢量旅行海报,城市建筑矢量艺术复古旅行海报，竖版9:16构图，顶部保留大面积标题区。顶部居中放置大号粗体无衬线全大写城市英文名称，下方中文城市名或国家名，标题两侧配有装饰水平线和装饰符号。画面主体为城市地标建筑群矢量拼贴，包含城市最具辨识度的历史建筑、现代摩天大楼、桥梁、河流、交通工具，建筑几何化简化造型，近大远小有层次，历史建筑与现代建筑并存。建筑采用克制三重音色分色体系：固有色为主，受光面仅作为窄边缘轻微提亮，阴影面用蓝灰分面压住屋檐、窗洞、拱内和建筑侧面；禁止大面积暖黄高光，禁止整体色相偏移。整体保持复古旅行海报的温暖高饱和配色：天空为明亮清透蓝色，建筑以红墙、金橙屋檐、青绿琉璃瓦、灰白石墙为主，暖黄色仅作为窄边缘高光；阴影使用克制蓝灰与暖棕，避免画面偏冷、偏黄或发灰。画面底部前景融入城市特色美食、文化符号、路牌、标牌，路牌标签招牌必须填充对应城市真实名称或合理内容，禁止空白牌。水面带蓝色反光，植物花卉鸟类点缀，干净整洁排版，8K高清,写实照片，摄影质感，3D渲染，复杂渐变，模糊，低清晰度，建筑扭曲，地标错误，城市混淆，文字乱码，空白路牌，无意义字母，水印，logo，杂乱元素，多余边框，人物特写，暗黑风格，低饱和，灰暗色调，单一平涂，大面积暖黄高光，整体偏冷偏黄
SK32 极简撕纸Zine风景海报,极简撕纸拼贴Zine风景海报，竖版9:16构图，顶部大面积纯净蓝天留白，水平层叠式地形构图，天空、远山、中景、前景逐层展开，每一层地形之间有白色撕纸边缘效果，整体覆盖细腻纸张颗粒肌理，扁平大色块，低饱和自然配色，纯净蓝天空、蓝灰山脉、橄榄绿草原、米色地面、橙色点缀，极简主义，少元素大留白，安静孤独旅行感，自然风景为主，山脉、水面、草原、天空，少量人文元素，小屋、小人物、卡车，人物通常很小背对观众，复古Zine杂志质感，无文字，8K高清,写实照片，摄影质感，3D渲染，复杂渐变，高饱和，鲜艳色彩，人物特写，面部细节，复杂建筑，城市天际线，文字，水印，logo，杂乱元素，多余边框，暗黑风格，灰暗色调，无纸纹，无撕纸边缘，密集构图
SK33 单色印刷编辑海报,3:4竖版平面印刷海报，整张画布即海报本身，绝对平面正面，无桌面无阴影无卷边无撕纸无折痕无mockup无任何周围物体。单一墨色印刷，纸底从暖米色#F5F1E8/冷灰色#E9E9E5/中性白#FAFAF7三选一，墨色从钴蓝#2148B8/皇家蓝#2058D4/植物绿#008A4B/薄荷绿#5EB783/陶土橙#C65F38/信号红#C83232/茄子紫#63365F/炭灰#30343A八色中根据主题选择，城市文化默认钴蓝，旅行暖调默认陶土橙，历史建筑默认炭灰。25%-55%主动留白，一个焦点事件主导画面（主体穿出页边/极端裁剪/超大标题碰撞），一个安静释放区。主体以半色调网点或干净分色呈现，近距离可见印刷颗粒，高光处纸底透出形成可见形状，暗部墨色堆积。大号衬线或粗体浓缩无衬线标题与主体物理碰撞/横穿/紧贴边缘，配小号等宽/无衬线注释文字，字号对比5-12倍，不超过3种字体。一个克制手动手势（圆形登记标记/手绘短线/小符号/旋转标签），仅一种手势风格。平面印刷质感，干净直边，8K高清,渐变、全彩照片、光泽mockup、3D渲染、电影光影、镜头虚化、硬阴影、桌面摆拍、纸张实体模型、居中模板对称、卡片网格、UI面板、贴纸拼贴、装饰色块、装饰blob、撕纸边缘、毛边、卷角、无控制重叠、脏污噪点过载、grunge、复古黄化、sepia老化、做旧边框、怀旧道具、长段落、营销文案、CTA按钮、logo、URL、二维码、水印、AI字样、乱码文字、签名、假出版标记、超过1种印刷墨色、纸底被全幅染色成数字单色滤镜
C01 韩式冷峻犯罪,韩国犯罪电影影像，低饱和冷调，暗部层次厚重，35-50mm镜头，细微胶片颗粒，冷静纪实氛围感，8K写实电影质感，保留原图人物、场景、原始构图,"高饱和, 艳丽, 卡通, 水印, 角标, 文字, 过度磨皮"
C02 民国上海复古,民国都市复古电影，暖金钨丝灯光，酒红暗金色调，细腻胶片颗粒，轻微柔焦暖色光晕，8K写实电影质感，保留原图人物、场景、原始构图,"刺眼高饱和, 卡通, 水印, 角标, 文字, 过度磨皮"
C03 西北乡土史诗,西北乡土史诗电影，赭石土地厚重色调，24-35mm镜头，粗颗粒35mm胶片，沉稳纪实质感，8K写实电影质感，保留原图人物、场景、原始构图,"马卡龙鲜亮色, 卡通, 水印, 角标, 文字, 塑料光滑质感"
C04 昭和日式怀旧,昭和日本生活片，褪色柔和低饱和，侧柔光，温润肤色，细密胶片颗粒，旧时光氛围，8K写实电影质感，保留原图人物、场景、原始构图,"高饱和艳色, 强硬光, 卡通, 水印, 角标, 文字"
C05 70年代香港功夫,70年代香港功夫片，老式球面镜头，暖调朴素色彩，粗胶片颗粒，轻微手持呼吸感，8K写实电影质感，保留原图人物、场景、原始构图,"荧光高饱和, 过度磨皮, 卡通, 水印, 角标, 文字"
C06 好莱坞青橙调色,好莱坞商业电影，青蓝冷阴影，琥珀暖肤色，冷暖色彩分离，椭圆柔散景，高动态电影画质，8K写实电影质感，保留原图人物、场景、原始构图,"色彩脏污溢出, 肤色发青, 卡通, 水印, 角标, 文字"
C07 邵氏棚拍武侠,邵氏老武侠胶片，浓郁东方配色，硬主光+轮廓光，Eastmancolor胶片，细密颗粒，8K写实电影质感，保留原图人物、场景、原始构图,"灰暗寡淡, 卡通, 水印, 角标, 文字, 塑料质感"
